Timestamp,"Prompt for story 1: 
In a small town nestled among rolling hills. There stood a quaint old bookstore. Its shelves held books of every color and size. One book, in particular, caught the eye of a curious child. Its cover shimmered with an ethereal glow. The child, with trembling hands, reached out to touch it. As fingertips grazed the book, a mysterious whirlwind enveloped the room. When the wind settled, the child found themselves in a magical forest. Surrounded by talking animals and glowing flora. The child had to unravel the secrets hidden within the enchanted book to return home.","Prompt for story 2: 
Deep within a dense forest. A solitary cabin stood amidst towering trees. Sheltering a young inventor named Maya. Whose latest creation sparked with untamed energy. A gadget designed to traverse time itself. As gears whirred and lights flickered. Maya activated the machine, transported to a distant era. Where she encountered dinosaurs. She traveled back to the Age of Dinosaurs.","Prompt for story 3: 
In a small town nestled between rolling hills, lived a young girl named Lily. She had a curious pet named Sparky. One day, while exploring the woods behind her house, Lily stumbled upon a mysterious old map. The map seemed to lead to a hidden treasure. With Sparky by her side, Lily embarked on an adventure, facing challenges and overcoming obstacles along the way, until finally reaching a hidden cave. There, the long-lost treasure awaited their discovery. As they uncovered the treasure, a surprise awaited them—it held a secret that would change Lily's life forever.","Prompt for story 4: 
In a war-torn realm, orphan Marcus discovered an ancient book detailing a legendary artifact to end the conflict. Joined by spectral guide Seraph, they embarked on a perilous quest through treacherous battlefields. At the artifact's sanctuary, Marcus learned its true power: a symbol of unity. Returning home, he ignited a movement, uniting fractured factions for lasting peace. The artifact's legacy lived on, not as a weapon but as a beacon of hope, ending the shadows of war. Under the banner of a united front, Marcus and Seraph's journey became the whispered legend that inspired generations to come, ensuring that the echoes of harmony drowned out the haunting memories of war.","Prompt for story 5: 
In the quiet town of Willowbrook, a mysterious antique shop appeared overnight. Its owner, Mr. Eldritch, possessed a peculiar charm that drew curious townsfolk inside. Among the dusty relics, young Emily discovered a weathered music box that played haunting melodies. As she wound it, the room transformed, revealing the shop's magical secret—it was a portal to the past. Emily found herself in a bustling Victorian market, where she met a kindred spirit named Amelia. Together, they navigated the challenges of two different eras, forging an unlikely friendship. As the music box's magic waned, Emily returned to Willowbrook, forever changed by the brief but enchanting adventure that transcended time itself.",
2023/11/27 12:32:15 PM PST,4,3,5,2,2,
2023/11/27 12:47:44 PM PST,4,3,5,4,5,
2023/11/27 12:54:07 PM PST,5,5,5,5,5,
2023/11/27 1:09:34 PM PST,3,3,3,3,3,
2023/11/27 1:28:51 PM PST,4,2,3,2,2,
2023/11/27 3:01:13 PM PST,4,2,4,2,1,
2023/11/27 3:01:20 PM PST,3,1,2,2,2,
2023/11/27 4:31:52 PM PST,5,4,4,3,4,
2023/11/27 6:09:12 PM PST,3,3,2,2,4,
2023/11/27 6:35:52 PM PST,3,2,1,1,3,
2023/11/27 6:41:00 PM PST,3,4,3,2,4,
2023/11/27 6:44:41 PM PST,2,3,3,1,1,
2023/11/27 6:56:48 PM PST,5,5,5,5,5,
2023/11/27 7:14:09 PM PST,5,5,5,5,5,
2023/11/27 10:27:05 PM PST,3,1,3,1,1,
2023/11/28 4:34:07 AM PST,5,4,5,4,4,
2023/11/28 4:34:21 AM PST,5,5,4,5,5,
2023/11/28 4:51:06 AM PST,5,5,5,5,5,
2023/11/28 4:51:41 AM PST,5,5,5,5,5,
2023/11/28 5:40:38 AM PST,5,5,5,4,5,
2023/11/28 7:12:42 AM PST,5,5,5,5,5,Average Across all videos
Average,4.095238095,3.571428571,3.904761905,3.238095238,3.619047619,3.685714286